"ring ditch","TYP","Descriptor"
"ring ditch","INP","12/20/2007"
"ring ditch","APP","12/20/2007"
"ring ditch","UPD","12/20/2007"
"robbing trench","Term Number","74"
"robbing trench","STA","Approved"
"robbing trench","TYP","Descriptor"
"robbing trench","INP","12/20/2007"
"robbing trench","APP","12/20/2007"
"robbing trench","UPD","12/20/2007"
"robbing trench: fill","Term Number","75"
"robbing trench: fill","STA","Approved"
"robbing trench: fill","TYP","Descriptor"
"robbing trench: fill","INP","12/20/2007"
"robbing trench: fill","APP","12/20/2007"
"robbing trench: fill","UPD","12/20/2007"
"stake","Term Number","76"
"stake","STA","Approved"
"stake","TYP","Descriptor"
"stake","INP","12/20/2007"
"stake","APP","12/20/2007"
"stake","UPD","12/20/2007"
"stake-hole","Term Number","77"
"stake-hole","STA","Approved"
"stake-hole","TYP","Descriptor"
"stake-hole","INP","12/20/2007"
"stake-hole","APP","12/20/2007"
"stake-hole","UPD","12/20/2007"
"stake-hole: fill","Term Number","78"
"stake-hole: fill","STA","Approved"
"stake-hole: fill","TYP","Descriptor"
"stake-hole: fill","INP","12/20/2007"
"stake-hole: fill","APP","12/20/2007"
"stake-hole: fill","UPD","12/20/2007"
"stoke hole","Term Number","79"
"stoke hole","STA","Approved"
"stoke hole","TYP","Descriptor"
"stoke hole","INP","12/20/2007"
"stoke hole","APP","12/20/2007"
"stoke hole","UPD","12/20/2007"
"stoke hole: fill","Term Number","80"
"stoke hole: fill","STA","Approved"
"stoke hole: fill","TYP","Descriptor"
"stoke hole: fill","INP","12/20/2007"
"stoke hole: fill","APP","12/20/2007"
"stoke hole: fill","UPD","12/20/2007"
"surface","Term Number","82"
"surface","STA","Approved"
"surface","TYP","Descriptor"
"surface","INP","12/20/2007"
"surface","APP","12/20/2007"
"surface","UPD","12/20/2007"
"surface: earth/clay","Term Number","83"
"surface: earth/clay","STA","Approved"
"surface: earth/clay","TYP","Descriptor"
"surface: earth/clay","INP","12/20/2007"
"surface: earth/clay","APP","12/20/2007"
"surface: earth/clay","UPD","12/20/2007"
"surface: metalled","Term Number","84"
"surface: metalled","STA","Approved"
"surface: metalled","TYP","Descriptor"
"surface: metalled","INP","12/20/2007"
"surface: metalled","APP","12/20/2007"
"surface: metalled","UPD","12/20/2007"
"surface: mortar","Term Number","85"
"surface: mortar","STA","Approved"
"surface: mortar","TYP","Descriptor"
"surface: mortar","INP","12/20/2007"
"surface: mortar","APP","12/20/2007"
"surface: mortar","UPD","12/20/2007"
"surface: paved","Term Number","86"
"surface: paved","STA","Approved"
"surface: paved","TYP","Descriptor"
"surface: paved","INP","12/20/2007"
"surface: paved","APP","12/20/2007"
"surface: paved","UPD","12/20/2007"
"threshold","Term Number","87"
"threshold","STA","Approved"
"threshold","TYP","Descriptor"
"threshold","INP","12/20/2007"
"threshold","APP","12/20/2007"
"threshold","UPD","12/20/2007"
"tree hollow","Term Number","88"
"tree hollow","STA","Approved"
"tree hollow","TYP","Descriptor"
"tree hollow","INP","12/20/2007"
"tree hollow","APP","12/20/2007"
"tree hollow","UPD","12/20/2007"
"tree hollow: fill","Term Number","89"
"tree hollow: fill","STA","Approved"
"tree hollow: fill","TYP","Descriptor"
"tree hollow: fill","INP","12/20/2007"
"tree hollow: fill","APP","12/20/2007"
"tree hollow: fill","UPD","12/20/2007"
"trial trench","Term Number","90"
"trial trench","STA","Approved"
"trial trench","TYP","Descriptor"
"trial trench","INP","12/20/2007"
"trial trench","APP","12/20/2007"
"trial trench","UPD","12/20/2007"
"trial trench: fill","Term Number","91"
"trial trench: fill","STA","Approved"
"trial trench: fill","TYP","Descriptor"
"trial trench: fill","INP","12/20/2007"
"trial trench: fill","APP","12/20/2007"
"trial trench: fill","UPD","12/20/2007"
"vessel","Term Number","92"
"vessel","STA","Approved"
"vessel","TYP","Descriptor"
"vessel","INP","12/20/2007"
"vessel","APP","12/20/2007"
"vessel","UPD","12/20/2007"
"wall","Term Number","93"
"wall","STA","Approved"
"wall","TYP","Descriptor"
"wall","INP","12/20/2007"
"wall","APP","12/20/2007"
"wall","UPD","12/20/2007"
"wheel rut","Term Number","95"
"wheel rut","STA","Approved"
"wheel rut","TYP","Descriptor"
"wheel rut","INP","12/20/2007"
"wheel rut","APP","12/20/2007"
"wheel rut","UPD","12/20/2007"
"wheel rut: fill","Term Number","96"
"wheel rut: fill","STA","Approved"
"wheel rut: fill","TYP","Descriptor"
"wheel rut: fill","INP","12/20/2007"
"wheel rut: fill","APP","12/20/2007"
"wheel rut: fill","UPD","12/20/2007"
